snappt_property_id_c,reverse_etl_id_c,name,fraud_detection_enabled_c,fraud_detection_start_date_c,fraud_detection_updated_date_c,income_verification_enabled_c,income_verification_start_date_c,income_verification_updated_date_c,id_verification_enabled_c,id_verification_start_date_c,id_verification_updated_date_c,idv_only_enabled_c,idv_only_start_date_c,idv_only_updated_date_c,connected_payroll_enabled_c,connected_payroll_start_date_c,connected_payroll_updated_date_c,bank_linking_enabled_c,bank_linking_start_date_c,bank_linking_updated_date_c,verification_of_rent_enabled_c,vor_start_date_c,vor_updated_date_c
d595befe-660d-4476-b406-a2d2e7957f5a,d595befe-660d-4476-b406-a2d2e7957f5a,The Retreat Biloxi- Villas,True,2025-09-16 14:39:45,,False,,,False,,,False,,,False,,,False,,,False,,
0b8ae1a9-cad0-420a-8436-4135281783b8,0b8ae1a9-cad0-420a-8436-4135281783b8,The Sampler 708557,True,2025-10-30 23:17:47,,True,2025-10-30 23:17:48,2025-10-30 23:17:48,False,,,False,,,False,,,False,,,False,,
bb51cbf4-735e-4516-bd5c-a16ed1360ec4,bb51cbf4-735e-4516-bd5c-a16ed1360ec4,The Turner Twins 761655,True,2025-09-25 01:18:35,,True,2025-09-25 01:18:35,2025-09-25 01:18:35,False,,,False,,,False,,,False,,,False,,
7238bb55-8246-4c05-9f40-ef49692abd4f,7238bb55-8246-4c05-9f40-ef49692abd4f,Theo 800052,True,2025-11-11 21:52:13,,True,2025-11-11 21:52:14,2025-11-11 21:52:14,False,,,False,,,False,,,False,,,False,,
c395dc1a-e5c2-44cf-b15f-98b5873712ef,c395dc1a-e5c2-44cf-b15f-98b5873712ef,Three Lantern Lane - 1582 128037,True,2025-10-02 15:14:51,,True,2025-10-02 15:14:51,2025-10-02 15:14:51,False,,,False,,,False,,,False,,,False,,
7e4541a4-417c-4bd7-b09d-5ba15b1fba1c,7e4541a4-417c-4bd7-b09d-5ba15b1fba1c,Timber Sound 2,True,2025-11-12 14:56:16,,True,2025-11-12 15:08:18,2025-11-12 15:08:18,True,,,False,,,True,2025-11-12 15:08:18,2025-11-12 15:08:18,True,2025-11-12 15:08:18,2025-11-12 15:08:18,False,,
f0bb74e6-078f-4e9f-813f-5152a1a06264,f0bb74e6-078f-4e9f-813f-5152a1a06264,Timber Sound I,True,2025-11-12 14:56:15,,True,2025-11-12 15:08:10,2025-11-12 15:08:10,True,,,False,,,True,2025-11-12 15:08:10,2025-11-12 15:08:10,True,2025-11-12 15:08:10,2025-11-12 15:08:10,False,,
715760ee-8ef5-4fcd-8530-6b6025242a85,715760ee-8ef5-4fcd-8530-6b6025242a85,Tiny House 619612,True,2025-10-09 20:43:00,,True,2025-10-09 20:43:00,2025-10-09 20:43:00,False,,,False,,,False,,,False,,,False,,
357e5179-b0b0-4d9f-bab6-b121343d5f41,357e5179-b0b0-4d9f-bab6-b121343d5f41,Tom Elder 790866,True,2025-10-03 03:08:32,,True,2025-10-03 03:08:32,2025-10-03 03:08:32,False,,,False,,,False,,,False,,,False,,
39dbdb10-8d1c-4cac-b7a6-b988fc8dda5a,39dbdb10-8d1c-4cac-b7a6-b988fc8dda5a,Town Home 772207,True,2025-10-14 04:12:11,,True,2025-10-14 04:12:11,2025-10-14 04:12:11,False,,,False,,,False,,,False,,,False,,
