snappt_property_id_c,reverse_etl_id_c,name,fraud_detection_enabled_c,fraud_detection_start_date_c,fraud_detection_updated_date_c,income_verification_enabled_c,income_verification_start_date_c,income_verification_updated_date_c,id_verification_enabled_c,id_verification_start_date_c,id_verification_updated_date_c,idv_only_enabled_c,idv_only_start_date_c,idv_only_updated_date_c,connected_payroll_enabled_c,connected_payroll_start_date_c,connected_payroll_updated_date_c,bank_linking_enabled_c,bank_linking_start_date_c,bank_linking_updated_date_c,verification_of_rent_enabled_c,vor_start_date_c,vor_updated_date_c
13933e6e-75f0-491b-b108-52d1fc1b4456,13933e6e-75f0-491b-b108-52d1fc1b4456,Avalon Montville,True,2025-10-29 15:35:32,,True,2025-10-29 16:05:23,2025-10-29 16:05:23,False,,,False,,,False,,,False,,,False,,
c1eda4eb-e442-4321-9c8b-3d8e0524ed7d,c1eda4eb-e442-4321-9c8b-3d8e0524ed7d,Avalon Mooresville,True,2025-10-29 15:35:19,,True,2025-10-29 16:05:18,2025-10-29 16:05:18,False,,,False,,,False,,,False,,,False,,
4e527350-7ab2-4513-80ea-854f39c92cb1,4e527350-7ab2-4513-80ea-854f39c92cb1,Avalon Natick,True,2025-10-29 15:35:02,,True,2025-10-29 16:05:11,2025-10-29 16:05:11,False,,,False,,,False,,,False,,,False,,
48bf5e4d-7b87-4fd4-87a9-c628dd952c43,48bf5e4d-7b87-4fd4-87a9-c628dd952c43,Avalon Newcastle Commons I,True,2025-10-29 15:36:04,,True,2025-10-29 16:05:36,2025-10-29 16:05:36,False,,,False,,,False,,,False,,,False,,
8288efc5-612e-46c2-94d0-f7b106e17b2b,8288efc5-612e-46c2-94d0-f7b106e17b2b,Avalon Newcastle Commons II,True,2025-10-29 15:36:06,,True,2025-10-29 16:05:37,2025-10-29 16:05:37,False,,,False,,,False,,,False,,,False,,
8b4817bb-adbd-47db-b60d-75a8a4fb116a,8b4817bb-adbd-47db-b60d-75a8a4fb116a,Avalon North Andover,True,2025-10-29 15:35:13,,True,2025-10-29 16:05:15,2025-10-29 16:05:15,False,,,False,,,False,,,False,,,False,,
20b2858d-2d19-402a-a616-c9232b7b94a7,20b2858d-2d19-402a-a616-c9232b7b94a7,Avalon North Bergen,True,2025-10-29 15:35:23,,True,2025-10-29 16:05:19,2025-10-29 16:05:19,False,,,False,,,False,,,False,,,False,,
a7443f75-91c6-4c04-8b6f-6d3d3718d040,a7443f75-91c6-4c04-8b6f-6d3d3718d040,Avalon Northborough,True,2025-10-29 15:34:59,,True,2025-10-29 16:05:10,2025-10-29 16:05:10,False,,,False,,,False,,,False,,,False,,
4bb34d57-c683-450c-aeb8-d1e0c8a2245e,4bb34d57-c683-450c-aeb8-d1e0c8a2245e,Avalon Northborough II,True,2025-10-29 15:34:59,,True,2025-10-29 16:05:09,2025-10-29 16:05:09,False,,,False,,,False,,,False,,,False,,
c633b3eb-2eba-4e62-a6c4-62e31711bcbc,c633b3eb-2eba-4e62-a6c4-62e31711bcbc,Avalon Norwood,True,2025-10-29 15:35:11,,True,2025-10-29 16:05:14,2025-10-29 16:05:14,False,,,False,,,False,,,False,,,False,,
