pilot_group	rds_property_id	sfdc_id	property_name	city	state	idv_enabled	bank_linking_enabled	payroll_enabled	total_feature_count	is_multi_property	priority
PILOT_CREATE	5f8b4551-b325-47eb-bfa0-315384b9e959	a01Dn00000HHVCTIA5	Perch	Austin	TX	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	e666590d-9171-4fde-861a-4b8962b6a27a	a01Dn00000HHnzrIAD	The Foundry at Stovehouse	Huntsville	AL	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	65349947-bac2-489a-9900-42593e574454	a01UL00000d4gvEYAQ	French District Villas	Saint Charles	MO	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	ceb9f54c-b868-43de-a1b7-f1b863e389eb	a01UL00000d52HGYAY	Montage at Hawk Ridge	St. Louis	MO	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	b1a5257a-89ce-42c2-91b7-df48346eaa5c	a01Dn00000HHpW8IAL	Residences at Annapolis Junction	Annapolis Junction	MD	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	8b82e1ab-299f-41df-b7e9-c50bb1751c66	a01UL00000d4W9MYAU	Casa Galleria	Lawndale	CA	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	a0095b96-0dc6-4729-9de8-76cf950fd22c	a01Dn00000HHNaOIAX	Galleria Townhome	Lawndale	CA	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	bbb38cb4-8219-48e8-b2e9-33e6689354d5	a01Dn00000HHKsvIAH	Costa Azul	Santa Fe Springs	CA	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	0bc40fad-123f-4689-a317-2a4eec7ea1bc	a01Dn00000HHGi3IAH	Anaheim Cottages	Anaheim	CA	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	cf839b7b-d0a5-4bb7-964f-c1d76adb877b	a01UL00000d56UdYAI	Rise Apartments	South Jordan	UT	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	0015a17e-8192-4411-b630-efc2a4ed5b00	a01Dn00000HHbxPIAT	Westlake Steps	Seattle	WA	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	2e3cfd55-8200-4ffc-9973-ed2c6c727255	a01Dn00000HHsb2IAD	Vector	Hillsboro	OR	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	7d63d82a-88d6-4e8e-b138-8a54cc728393	a01Dn00000HHsSMIA1	True North	Seattle	WA	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	299eef76-f08b-481b-a052-33bb938249de	a01Dn00000HHsulIAD	The Villas at Amberglen West	Hillsboro	OR	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	8a5796b7-0f21-4a6e-ad73-0a3670385e54	a01Dn00000HHVz3IAH	The Preserve at Ceder River	Renton	WA	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	1076536e-d192-407d-ba23-8a5deeb26da2	a01UL00000d5LRzYAM	Village Square Apartments	Pleasant Grove	UT	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	b1f06ff2-5edd-49d9-8344-a709716481f8	a01UL00000apmvZYAQ	The Miles at South Cooper Mountain	Beaverton	OR	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	cfc5813e-d972-47a9-b091-6d51601dbd6a	a01UL00000apMrNYAU	The Daphne	Los Angeles	CA	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	7e819985-de2c-4189-b44a-36dd9bf38cda	a01Dn00000HHrT5IAL	Summerwalk at Klahanie	Issaquah	WA	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	9ce80285-c48d-4d63-9a4e-4919ad36db09	a01UL00000a7FFLYA2	Savanna at Reeds Crossing	Hillsboro	OR	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	d7dd70c1-5498-496c-bd44-e90eb6f36f54	a01Dn00000HHuzpIAD	Rowlock	Hillsboro	OR	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	b6d1d00d-e4da-4d5f-8d10-539dcc267367	a01UL00000d5mbrYAA	Calypso Apartments	Saratoga Springs	UT	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	6ec20b36-1799-4697-9930-e454e3c47611	a01Dn00000HHTwNIAX	One Lakefront	Seattle	WA	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	5daa34fc-7b3f-4dbc-b356-43f1cb18b78c	a01UL00000aqZkyYAE	Nita Santa Fe	Denver	CO	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	acb83dff-94b6-416a-add6-92c904cf1515	a01Dn00000HHkslIAD	Maestro	Portland	OR	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	02846f85-b02a-4ffc-8bdb-8eb9efa1002d	a01Dn00000HHQCIIA5	Juxt	Seattle	WA	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	4a5d4d03-7ebf-4375-b162-79fe124ab5bd	a01Dn00000HHPxUIAX	Inspiration at Frank Lloyd Wright	Scottsdale	AZ	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	b1168d87-6aa2-4012-b54f-29ada6a140e1	a01Dn00000HHPf3IAH	Huxley	Seattle	WA	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	44bd9c76-c215-42d9-add5-38b7164c07e3	a01Dn00000HHPkpIAH	HUB 9	Hillsboro	OR	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	a2d2017a-f99a-48d1-8676-fe38682a34f1	a01Dn00000HHKpEIAX	Commons Park West	Denver	CO	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	4d8c6d50-5d26-4cef-95ef-b3bdb6992eb8	a01Dn00000HHelbIAD	Bella Terra	Mukilteo	WA	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	9e39b5b2-6b83-4d94-80ed-15ea7a02fa6b	a01UL00000aqKAqYAM	Adera	Vancouver	WA	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	9cfa7879-da0b-4b02-8352-d663ec3e1edf	a01Dn00000HHlz0IAD	Mt Olive Townhomes	Commerce	GA	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	5d58f7fa-e19a-4c5e-bfee-94e4ebb7ff6a	a01Dn00000HHSRHIA5	ibex Sweetwater	Lithia Springs	GA	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	2e167356-c6d7-4beb-9016-2b8137cda16d	a01Dn00000HHNaQIAX	ibex Park	Smyrna	GA	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	4610c50b-57f1-4f9c-8893-88efa36583a0	a01Dn00000HHJrvIAH	Centerview Park	Smyrna	GA	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	410bf3aa-fda9-45f5-94fa-08e4466be640	a01UL00000cr3WYYAY	The Village on West Seminary	Fort Worth	TX	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	ac23a1b4-e963-4a8e-945a-9ce29188c393	a01UL00000cXsGjYAK	mResidences Miracle Mile	Los Angeles	CA	1	1	1	5	false	HIGH_PRIORITY
PILOT_CREATE	ee89725c-38ff-4342-8de4-40b4a8a549a2	a01Dn00000HHbEDIA1	Wabash Landing	West Lafayette	IN	1	1	1	5	false	HIGH_PRIORITY
