pilot_group	rds_property_id	sfdc_id	property_name	city	state	idv_enabled	bank_linking_enabled	payroll_enabled	total_feature_count	is_multi_property	active_property_count	test_type
PILOT_UPDATE	ff2130ef-87d2-4863-add6-0161ed8b0025	a01UL00000WBKYvYAP	Vinoy at St Johns	Jacksonville	FL	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	9b3ba424-785c-43c9-b6cd-e417cb890ed5	a01Dn00000HHtOLIA1	Water Tower Flats	Arvada	CO	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	0f9e99de-a776-40fc-a71f-651ea75d77ad	a01Dn00000HHHy6IAH	Advenir Lighthouse Point	Fort Lauderdale	FL	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	3ca6e8b5-f241-4442-a38f-4e46cab8d310	a01UL00000PLuonYAD	Territory at Williams Way - MS	Richmond	TX	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	7f8dcdc7-7cf0-477c-9353-bb9b82f8c50b	a01UL00000PLjzqYAD	Territory at Anserra - MS	Katy	TX	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	2803099c-eebd-4184-bc50-e658697ec3de	a01Dn00000HJLgAIAX	Territory at 2920 - MS	Spring	TX	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	db6e7686-8714-4df6-94bb-0554600e7b2c	a01UL00000X9IihYAF	Elowen	San Diego	CA	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	307d2ea0-0f82-4194-bc1f-95c6e26c0d6a	a01Dn00000HHmDaIAL	North Oaks Landing	Raleigh	NC	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	5b3a9a3b-fe26-449b-bf87-c7bb7b9c884d	a01Dn00000HHpG7IAL	Reflection Pointe TN	Ooltewah	TN	1	1	1	5	true	2	MULTI_PROPERTY
PILOT_UPDATE	b7da87e4-f98e-4377-8f18-3c9332e97e75	a01UL00000TfY1xYAF	Remi West Dallas	Dallas	TX	1	1	1	5	true	2	MULTI_PROPERTY
